"分店代碼","分店名稱","建立時間","單號","發票號碼","商品編號","商品名稱","標籤名稱","標籤價錢","商品單價","數量","銷售金額","單品折扣總額","折扣名稱","折扣總額","實收金額","淨額","商品分類","用餐方式","訂單來源","冰塊與否","On the Rocks","Neat","經典調酒","Shot種類","服務鈴","軟飲冰塊","補單","濃度","香菜與否","蔥與否","店員名稱","小黃瓜","Martini 橄欖檸檬皮","清酒","點單隻送","情人節套餐加購","杯子數量","Honey Lemon","Hot Tea","Shot杯種類","破杯","破杯原因"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-15 19:59:55","6","","","Dry Martini","With Lemon Peels",0,320,1,320,0,"",0,320,305,"Other Classic","內用","POS","","","","","","","","","","","","","","With Lemon Peels","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","Earl Grey Milk Tea I/H","正常",0,220,1,220,0,"",0,220,210,"Soft Drink","內用","POS","","","","","","","正常","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","Earl Grey Milk Tea I/H","正常",0,220,1,220,0,"",0,220,210,"Soft Drink","內用","POS","","","","","","","正常","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","松阪豬炒水蓮","",0,220,1,220,0,"",0,220,210,"下酒菜","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","轟炸雞軟骨","",0,240,1,240,0,"",0,240,229,"炸物","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","烏金堅果乾酪燒","",0,240,1,240,0,"",0,240,229,"特色餐點","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","轟炸雞軟骨","",0,240,1,240,0,"",0,240,229,"炸物","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","野菇櫻花蝦飯","",0,250,1,250,0,"",0,250,238,"主食","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","PERONI draft beer","",0,250,1,250,0,"",0,250,238,"Beer","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","PERONI draft beer","",0,250,1,250,0,"",0,250,238,"Beer","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","香辣干燒蝦拌麵","",0,260,1,260,0,"",0,260,248,"主食","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","龍柏","",0,400,1,400,0,"",0,400,381,"Signature Cocktail","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","哈庫那瑪塔塔","",0,420,1,420,0,"",0,420,400,"Signature Cocktail","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","吉祥炸物拼盤","",0,450,1,450,0,"",0,450,429,"炸物","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-05 23:47:35","3","","","PERONI draft beer","",0,250,2,500,0,"",0,500,473,"Beer","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-03 22:14:36","9","","","Negroni","",0,380,1,380,0,"員工眷屬優待",114,266,253,"Classic Cocktail","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-03 22:14:36","9","","","Special Cocktail(時價)","",0,380,1,380,0,"員工眷屬優待",114,266,254,"Special及活動","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-02 22:28:49","9","","","特製皮蛋豆腐","",0,120,1,120,0,"",0,120,114,"特色餐點","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-02 22:28:49","9","","","PERONI draft beer","",0,250,1,250,0,"",0,250,238,"Beer","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-02 22:28:49","9","","","雲初之上","",0,400,1,400,0,"",0,400,381,"Signature Cocktail","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-09 21:48:20","7","","","東方美人","",0,420,1,420,0,"",0,420,400,"Signature Cocktail","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-09 21:48:20","7","","","山海關","",0,420,1,420,0,"",0,420,400,"Signature Cocktail","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
