"結帳時間","類型","單號/交易序號","","發票號碼","銷售金額","實收金額","服務費","折扣","稅額","支付方式","員工",""
"2022/08/01 17:26","內用","2
2022080117250002","","","100","100","0","0","0","=""現金""","-(000000)/90466979",""
"2022/08/01 20:28","內用","6
2022080120280006","","","125","125","0","0","0","=""現金""","-(000000)/90466979",""
"2022/08/01 22:18","內用","11
2022080121040011","","","1,826","1,826","166","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/01 22:24","內用","3
2022080117330003","","","1,936","1,856","176","80","0","=""信用卡""","-(000000)/90466979",""
"2022/08/01 22:32","內用","7
2022080120300007","","","1,958","1,958","178","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/01 22:41","內用","14
2022080121230014","","","704","704","64","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/01 23:11","內用","10
2022080120530010","","","3,124","3,124","284","0","0","=""現金""","-(000000)/90466979",""
"2022/08/01 23:20","內用","19
2022080123190019","","","125","125","0","0","0","=""現金""","-(000000)/90466979",""
"2022/08/01 23:23","內用","4
2022080117330004","","","2,838","2,838","258","0","0","=""現金""","-(000000)/90466979",""
"2022/08/01 23:31","內用","15
2022080121290015","","","2,189","2,189","199","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/01 23:42","內用","17
2022080121530017","","","1,738","1,738","158","0","0","=""現金""","-(000000)/90466979",""
"2022/08/02 00:01","內用","5-1
2022080123590020","","","4,356","4,356","396","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/02 00:04","內用","16
2022080121340016","","","2,860","2,860","260","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/02 00:11","內用","18
2022080122210018","","","0","0","0","0","0","=""現金""","-(000000)/90466979",""
"2022/08/02 00:19","內用","13
2022080121140013","","","640","448","0","192","0","=""LINE Pay""","-(000000)/90466979",""
"2022/08/02 00:23","內用","5
2022080117460005","","","1,353","1,353","123","0","0","=""現金""","-(000000)/90466979",""
"2022/08/02 00:32","內用","8
2022080120480008","","","4,840","4,840","440","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/02 01:26","內用","20
2022080201140021","","","803","803","73","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/02 01:28","內用","1
2022080103170001","","","0","0","0","0","0","=""現金""","-(000000)/90466979",""
"2022/08/02 02:02","內用","1
2022080202000001","","","640","640","0","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/02 17:22","內用","2
2022080217220002","","","100","100","0","0","0","=""現金""","-(000000)/90466979",""
"2022/08/02 21:41","內用","3
2022080217400003","","","1,815","1,320","165","495","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/02 22:01","內用","10
2022080221340010","","","462","462","42","0","0","=""現金""","店長Ian(0002)/ian",""
"2022/08/02 22:28","內用","9
2022080221290009","","","847","847","77","0","0","=""現金""","店長Ian(0002)/ian",""
"2022/08/02 23:00","內用","7
2022080219560007","","","1,320","1,320","120","0","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/02 23:21","內用","8
2022080221250008","","","3,267","3,267","297","0","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/03 00:04","內用","4
2022080217400004
作廢2022/08/03 00:06","","","5,544","5,544","504","0","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/03 00:07","內用","14
2022080300060014","","","5,544","5,544","504","0","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/03 00:39","內用","6
2022080218570006","","","1,056","1,056","96","0","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/03 01:00","內用","11
2022080221420011","","","2,970","2,970","270","0","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/03 01:25","內用","13
2022080223530013","","","1,155","1,155","105","0","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/03 01:29","內用","5
2022080217470005","","","0","0","0","0","0","=""現金""","店長Ian(0002)/ian",""
"2022/08/03 17:28","內用","1
2022080317280001","","","100","100","0","0","0","=""現金""","店長Ian(0002)/ian",""
"2022/08/03 17:28","內用","2
2022080317280002","","","100","100","0","0","0","=""現金""","店長Ian(0002)/ian",""
"2022/08/03 20:05","內用","10
2022080319120010","","","385","385","35","0","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/03 20:31","內用","11
2022080319350011","","","528","528","48","0","0","=""信用卡""","店長Ian(0002)/ian",""
"2022/08/03 22:05","內用","4
2022080317350004","","","3,322","3,322","302","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/03 22:14","內用","9
2022080318420009","","","836","608","76","228","0","=""信用卡""","-(000000)/90466979",""
"2022/08/03 22:21","內用","3
2022080317350003","","","5,291","5,071","461","220","0","=""現金""","-(000000)/90466979",""
"2022/08/03 22:28","內用","5
2022080317350005","","","3,201","3,201","291","0","0","=""現金""","-(000000)/90466979",""
"2022/08/03 22:35","內用","14
2022080321170014","","","264","264","24","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/03 23:23","內用","15
2022080322040015","","","880","880","80","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/04 00:16","內用","16-1
2022080400140019
作廢2022/08/04 00:17","","","1,287","1,037","117","250","0","=""信用卡""","-(000000)/90466979",""
"2022/08/04 00:17","內用","19
2022080400170020","","","1,287","1,037","117","250","0","=""現金""","-(000000)/90466979",""
"2022/08/04 00:24","內用","17
2022080323000017","","","0","0","0","0","0","=""現金""","-(000000)/90466979",""
"2022/08/04 01:09","內用","16-1
2022080401080022","","","924","924","84","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/04 01:11","內用","18
2022080323510018","","","1,177","1,177","107","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/04 01:18","內用","20
2022080400250021","","","0","0","0","0","0","=""現金""","-(000000)/90466979",""
"2022/08/04 01:26","內用","7
2022080317360007","","","5,643","5,643","513","0","0","=""信用卡""","-(000000)/90466979",""
"2022/08/04 01:32","內用","13
2022080321130013","","","1,639","1,639","149","0","0","=""現金""","-(000000)/90466979",""
"2022/08/0401:33","內用","8
2022080318370008
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0417:25","內用","1
2022080417240001
","","","100","100","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0417:57","內用","17
2022080417560017
","","","100","100","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0419:27","內用","4
2022080417490004
","","","2,519","2,519","229","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0419:55","內用","8
2022080417550008
","","","3,916","3,916","356","0","0","=""現金""","-(000000)90466979",""
"2022/08/0420:20","內用","3
2022080417490003
","","","1,760","1,760","160","0","0","=""現金""","-(000000)90466979",""
"2022/08/0420:42","內用","16
2022080417560016
","","DK09469933","10,373","10,373","943","0","494","=""信用卡""","-(000000)90466979",""
"2022/08/0421:00","內用","5
2022080417490005
","","","1,705","1,705","155","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0421:03","內用","14
2022080417550014
","","","3,762","3,762","342","0","0","=""現金""","-(000000)90466979",""
"2022/08/0421:21","內用","2
2022080417490002
","","","3,619","3,619","329","0","0","=""funNow、信用卡""","-(000000)90466979",""
"2022/08/0421:26","內用","13
2022080417550013
","","","682","682","62","0","0","=""現金""","-(000000)90466979",""
"2022/08/0421:30","內用","12
2022080417550012
","","","2,343","2,343","213","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0421:34","內用","7
2022080417490007
","","","2,101","1,981","191","120","0","=""funNow、信用卡""","-(000000)90466979",""
"2022/08/0421:42","內用","9
2022080417550009
","","","2,728","2,728","248","0","0","=""現金""","-(000000)90466979",""
"2022/08/0422:07","內用","6
2022080417490006
","","","1,628","1,628","148","0","0","=""現金""","-(000000)90466979",""
"2022/08/0422:29","內用","26
2022080422290026
","","","780","780","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0422:31","內用","27
2022080422310027
","","","420","420","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0422:44","內用","20
2022080420340020
","","","2,530","2,530","230","0","0","=""現金""","-(000000)90466979",""
"2022/08/0423:00","內用","22
2022080421220022
","","","1,188","1,188","108","0","0","=""現金""","-(000000)90466979",""
"2022/08/0423:01","內用","23
2022080421390023
","","","1,144","1,144","104","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0423:11","內用","29
2022080422380029
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0423:23","內用","10
2022080417550010
","","","5,115","4,995","465","120","0","=""funNow、信用卡""","-(000000)90466979",""
"2022/08/0423:46","內用","28
2022080422370028
","","","682","682","62","0","0","=""現金""","-(000000)90466979",""
"2022/08/0423:47","內用","32
2022080423120032
","","","1,320","1,320","120","0","0","=""現金""","-(000000)90466979",""
"2022/08/0500:05","內用","33
2022080500050033
","","","125","125","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0500:20","內用","31
2022080422490031
","","","1,078","1,078","98","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0500:30","內用","21
2022080421090021
","","","1,628","1,628","148","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0500:32","內用","24
2022080421470024
","","","1,749","1,749","159","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0500:43","內用","19
2022080420070019
","","","4,939","4,939","449","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0500:56","內用","11
2022080417550011
","","","671","671","61","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0500:57","內用","34
2022080500230034
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0501:30","內用","36
2022080500580036
","","","770","770","70","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0501:32","內用","38
2022080501160038
","","","418","304","38","114","0","=""信用卡""","-(000000)90466979",""
"2022/08/0501:36","內用","30
2022080422410030
","","","1,969","1,969","179","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0501:38","內用","35
2022080500530035
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0501:42","內用","25
2022080422000025
","","","836","608","76","228","0","=""現金""","-(000000)90466979",""
"2022/08/0501:43","內用","37
2022080501030037
","","","583","583","53","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0501:43","內用","15
2022080417560015
","","","3,542","3,542","322","0","0","=""現金""","-(000000)90466979",""
"2022/08/0501:44","內用","18
2022080418280018
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0517:44","內用","1
2022080517440001
","","","100","100","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0520:58","內用","4
2022080517470004
","","","2,640","2,640","240","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0520:59","內用","14
2022080518410014
","","","3,190","3,190","290","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0521:24","內用","2
2022080517460002
","","","1,848","1,848","168","0","0","=""街口支付""","-(000000)90466979",""
"2022/08/0521:59","內用","10
2022080517490010
","","","3,872","3,872","352","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0522:09","內用","6
2022080517470006
","","","2,684","2,684","244","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0522:16","內用","17
2022080521050017
","","","1,694","1,694","154","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0522:25","內用","5
2022080517470005
","","","8,261","8,261","751","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0522:27","內用","18
2022080521310018
","","","1,793","1,793","163","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0522:42","內用","12
2022080518000012
","","","1,738","1,738","158","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0522:45","內用","20
2022080521560020
","","","462","462","42","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0523:08","內用","26
2022080522390026
","","","1,287","1,287","117","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0523:42","內用","9
2022080517470009
","","","1,628","1,628","148","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0523:47","內用","3
2022080517470003
","","","4,576","4,576","416","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0523:49","內用","24
2022080522190024
","","","1,452","1,452","132","0","0","=""現金""","-(000000)90466979",""
"2022/08/0523:50","內用","7
2022080517470007
","","","4,509","4,059","369","450","0","=""信用卡""","-(000000)90466979",""
"2022/08/0523:54","內用","19
2022080521320019
","","","2,530","2,530","230","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0600:17","內用","16
2022080520410016
","","","2,794","2,794","254","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0600:19","內用","8
2022080517470008
","","","4,048","4,048","368","0","0","=""現金""","-(000000)90466979",""
"2022/08/0600:25","內用","11
2022080517490011
","","","4,961","4,961","451","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0600:30","內用","25
2022080522380025
","","","1,056","1,056","96","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0600:40","內用","28
2022080523350028
","","","1,221","1,221","111","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0600:41","內用","23
2022080522190023
","","","3,201","3,201","291","0","0","=""LINE Pay""","-(000000)90466979",""
"2022/08/0600:56","內用","27
2022080523320027
","","","1,903","1,903","173","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0601:08","內用","32
2022080601070032
","","","125","125","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/0601:28","內用","21
2022080522100021
","","","7,711","7,711","701","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0601:56","內用","30
2022080600030030
","","","1,848","1,848","168","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0602:00","內用","22
2022080522100022
","","","2,101","2,101","191","0","0","=""現金""","-(000000)90466979",""
"2022/08/0602:17","內用","34
2022080602020034
","","","450","450","0","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0602:30","內用","31
2022080601050031
","","","1,804","1,804","164","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0602:31","內用","29
2022080523560029
","","","6,545","6,545","595","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/0602:34","內用","33
2022080601520033
","","","385","385","35","0","0","=""現金""","-(000000)90466979",""
"2022/08/0602:35","內用","13
2022080518210013
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
