"分店代碼","建立時間","交易序號","用餐方式","桌號","單號","pos機號","發票號碼","服務費","低銷","折扣總額","結帳金額","淨額"
"01","2022-08-03 00:04:19","20220802 17400004","內用","A7","4","2","","504","0","0","5544","5280"
"01","2022-08-04 00:16:00","20220804 00140019","內用","B2","16-1","2","","117","0","250","1037","988"
"01","2022-08-07 19:42:58","20220807 18100002","內用","B7","2","2","","194","0","0","2134","2032"
"01","2022-08-08 01:41:47","20220808 01410017","內用","B7","16","2","","194","0","0","2134","2032"
"01","2022-08-08 01:47:47","20220808 01470018","內用","B7","17","2","","194","0","0","2134","2032"
"01","2022-08-10 20:21:57","20220810 19240005","內用","B7","5","2","","38","0","0","418","398"
"01","2022-08-14 21:04:24","20220814 19480005","內用","B7","5","2","","0","0","0","1540","1467"
"01","2022-08-18 23:03:37","20220818 21230010","內用","A12","10","2","","197","0","120","2047","1950"
"01","2022-08-20 02:34:59","20220820 01300032","內用","A10","32","2","","113","0","0","1243","1184"
"01","2022-08-22 01:34:21","20220821 22200010","內用","B8","10","2","","258","0","0","2838","2703"
"01","2022-08-27 00:23:25","20220826 22020023","內用","A7","23","2","","882","0","0","9702","9240"
"01","2022-08-27 02:53:17","20220827 02530034","內用","A7","33","2","","882","0","0","9702","9240"
"01","2022-08-27 23:57:16","20220827 22490020","內用","B5","20","2","","198","0","0","2178","2074"
"01","2022-08-28 21:34:32","20220828 21340009","內用","站A","9","2","","0","0","0","100","95"
"01","2022-08-30 01:45:25","20220830 01270014","內用","B2","13","2","","0","0","0","850","810"
"01","2022-09-01 00:00:21","20220831 17360002","內用","A1","2","2","","361","0","100","3871","3687"
