"排名","類別","銷售數量","數量占比%","銷售金額","金額占比%"
" 1 ","Signature Cocktail","1,210","20.63%","478,270","39.14%"
"","琥珀","204","16.86%","76,000","15.89%"
"","尋根","151","12.48%","60,400","12.63%"
"","哈庫那瑪塔塔","127","10.5%","52,080","10.89%"
"","東方美人","92","7.6%","38,640","8.08%"
"","山海關","83","6.86%","34,860","7.29%"
"","雲初之上","80","6.61%","32,000","6.69%"
"","龍柏","78","6.45%","30,000","6.27%"
"","盛夏 (PERONI仲夏限定特調)","58","4.79%","23,200","4.85%"
"","白霜","50","4.13%","17,860","3.73%"
"","雲嫣","47","3.88%","17,860","3.73%"
"","西方世界","43","3.55%","17,200","3.6%"
"","浪子之琴","40","3.31%","16,800","3.51%"
"","炙陽","42","3.47%","14,820","3.1%"
"","綠洲","33","2.73%","13,200","2.76%"
"","仲夏 (PERONI仲夏限定特調)","26","2.15%","11,700","2.45%"
"","浮生若夢","28","2.31%","10,000","2.09%"
"","初夏 (PERONI仲夏限定特調)","16","1.32%","6,400","1.34%"
"","The MACALLAN Signature","9","0.74%","4,050","0.85%"
"","The Macallan Silend Third","3","0.26%","1,200","0.25%"
" 2 ","Special及活動","469","8%","137,290","11.24%"
"","Special Cocktail","198","42.22%","81,620","59.45%"
"","八月優惠特調Shots(6杯)","59","12.58%","35,400","25.78%"
"","Special Mocktail","29","6.18%","7,620","5.55%"
"","主廚限定餐點","26","5.54%","7,280","5.3%"
"","清潔費","1","0.21%","2,000","1.46%"
"","八月優惠特調Shot(單杯)","12","2.56%","1,800","1.31%"
"","開瓶費","1","0.21%","1,000","0.73%"
"","補足低消(未含服務費)","1","0.21%","570","0.42%"
"","服務鈴","9","1.92%","0","0%"
"","假日21點前入場招待","123","26.23%","0","0%"
"","PERONI Draft Beer 500ml (杯墊兌換)","8","1.71%","0","0%"
"","週四麥卡倫之夜贈豆干","2","0.43%","0","0%"
" 3 ","炸物","312","5.32%","92,160","7.54%"
"","吉祥炸物拼盤","56","17.95%","25,200","27.34%"
"","可樂果炸雞","75","24.04%","24,000","26.04%"
"","太極雙醬薯條","95","30.45%","19,360","21.01%"
"","轟炸雞軟骨","38","12.18%","9,120","9.9%"
"","酥炸廣島牡蠣","26","8.33%","8,320","9.03%"
"","祥鳳雞翅","22","7.05%","6,160","6.68%"
" 4 ","Classic Cocktail","237","4.04%","82,460","6.75%"
"","Gin  Tonic","65","27.43%","20,460","24.81%"
"","Mojito","47","19.83%","16,550","20.07%"
"","Old Fashion","29","12.24%","10,150","12.31%"
"","Negroni","22","9.28%","8,460","10.26%"
"","Side Car","16","6.75%","5,650","6.85%"
"","Penicillin","12","5.06%","4,800","5.82%"
"","Singapore Sling","10","4.22%","3,850","4.67%"
"","Mai Tai","10","4.22%","3,800","4.61%"
"","God Father","10","4.22%","3,500","4.24%"
"","Aviation","8","3.38%","2,800","3.4%"
"","Cosmopolitan","6","2.53%","1,800","2.18%"
"","El Diablo","2","0.84%","640","0.78%"
" 5 ","Other Classic","161","2.75%","57,300","4.69%"
"","Long Island Iced Tea","38","23.6%","14,940","26.07%"
"","JagerBomb","27","16.77%","9,450","16.49%"
"","Gin Fizz","15","9.32%","5,250","9.16%"
"","Highball","11","6.83%","3,080","5.38%"
"","Sangria","6","3.73%","2,280","3.98%"
"","Clover Club","5","3.11%","1,750","3.05%"
"","Manhattan","5","3.11%","1,750","3.05%"
"","Daiquiri","5","3.11%","1,600","2.79%"
"","Last Word","4","2.48%","1,400","2.44%"
"","Boulevardier","3","1.86%","1,050","1.83%"
"","Pina Colada","3","1.86%","1,050","1.83%"
"","Margarita","3","1.86%","1,050","1.83%"
"","Vesper","3","1.86%","960","1.68%"
"","Gimlet","3","1.86%","960","1.68%"
"","Hot red wine","2","1.28%","900","1.59%"
"","Around The World","2","1.24%","900","1.57%"
"","Espresso Martini","2","1.24%","760","1.33%"
"","Alaska","2","1.24%","700","1.22%"
"","White Lady","2","1.24%","700","1.22%"
"","Kings Valley","2","1.24%","700","1.22%"
"","Dry Martini","2","1.24%","640","1.12%"
"","South Side","2","1.24%","640","1.12%"
"","Wisky Sour","2","1.24%","640","1.12%"
"","Blood and Sand","1","0.62%","380","0.66%"
"","Vieux Carre","1","0.62%","380","0.66%"
"","Kamikaze","1","0.62%","350","0.61%"
"","Mocking Bird","1","0.62%","350","0.61%"
"","Jasmine","1","0.62%","350","0.61%"
"","Newyork Sour","1","0.62%","350","0.61%"
"","Jungle Bird","1","0.62%","350","0.61%"
"","Twentieth Century","1","0.62%","350","0.61%"
"","Sazerac","1","0.62%","350","0.61%"
"","Derby","1","0.62%","320","0.56%"
"","Dirty Martini","1","0.62%","320","0.56%"
"","Cuba Libre","1","0.62%","300","0.52%"
" 6 ","Single Malt","49","0.84%","55,670","4.56%"
"","THE DALMORE 12yo","9","18.37%","11,450","20.57%"
"","JURA SHERRY CASK 12yo","3","6.12%","7,320","13.15%"
"","The MACALLAN DOUBLE CASK 15yo","1","2.04%","6,500","11.68%"
"","MORTLACH 16yo","1","2.06%","6,000","10.74%"
"","The MACALLAN THE HARMONY COLLECTION FINE CACAO","7","14.29%","5,600","10.06%"
"","The MACALLAN DOUBLE CASK 12yo","5","10.2%","5,600","10.06%"
"","The MACALLAN SHERRY OAK CASK 18yo","3","6.12%","3,600","6.47%"
"","The MACALLAN DOUBLE CASK 18yo","3","6.12%","2,700","4.85%"
"","THE BALVENIE DOUBLEWOOD 12yo","3","6.12%","1,050","1.89%"
"","Ardbeg UIGEADAIL","2","4.08%","900","1.62%"
"","FETTERCAIRN 12yo","3","6.12%","900","1.62%"
"","THE DALMORE 18yo","1","2.04%","800","1.44%"
"","LAGAVULIN 16yo","1","2.04%","500","0.9%"
"","THE DALMORE PORT WOOD RESERVE","1","2.04%","450","0.81%"
"","白州","1","2.04%","450","0.81%"
"","THE DALMORE 15yo","1","2.04%","450","0.81%"
"","LAGAVULIN 8yo","1","2.04%","400","0.72%"
"","THE GLENLIVET SHERRY CASK MATURED 13yo","1","2.04%","350","0.63%"
"","MORTLACH 12yo","1","2.04%","350","0.63%"
"","LAPHROAIG 10yo","1","2.04%","300","0.54%"
" 7 ","主食","213","3.63%","53,310","4.36%"
"","干貝雞汁拌麵","91","42.72%","23,660","44.38%"
"","香辣干燒蝦拌麵","70","32.86%","18,200","34.14%"
"","野菇櫻花蝦飯","25","11.74%","6,250","11.73%"
"","手工高麗菜豬肉水餃","27","12.68%","5,200","9.75%"
" 8 ","滷味","151","2.57%","42,620","3.49%"
"","秘制滷味拼盤","83","54.97%","28,800","67.57%"
"","香滷牛三寶拼盤","29","19.2%","11,020","25.86%"
"","自制滷豆干","39","25.83%","2,800","6.57%"
" 9 ","下酒菜","158","2.69%","41,750","3.42%"
"","松阪豬炒水蓮","94","59.49%","20,680","49.53%"
"","塔香菌菇炒蝦","29","18.35%","11,020","26.4%"
"","油潑香辣腱子肉","19","12.03%","4,560","10.92%"
"","麻辣鍋巴魚","10","6.33%","3,000","7.19%"
"","孜然霸王骨","6","3.8%","2,490","5.96%"
" 10 ","Beer","196","3.34%","36,000","2.95%"
"","PERONI draft beer","131","66.84%","30,750","85.42%"
"","1664 白啤酒","15","7.65%","3,000","8.33%"
"","GUINNESS","9","4.59%","2,250","6.25%"
"","Peroni Draft Beer 330ml","41","20.92%","0","0%"
" 11 ","特色餐點","118","2.01%","26,720","2.19%"
"","芥末蘋果蝦球","26","22.03%","8,840","33.08%"
"","蒜酥黃金魚皮","39","33.05%","8,580","32.11%"
"","烏金堅果乾酪燒","17","14.41%","4,080","15.27%"
"","黑白無腸","19","16.1%","3,420","12.8%"
