"臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","","","","","","","","","","",""
"銷售日期","星期","銷售總額","折扣金額","營業額","稅額","營業淨額","客數","周轉率","人均價","交易數","交易均價"
"2022-08-01","一","31,515","272","31,243","1,486","29,757","34","0.53","919","19","1,644"
"2022-08-02","二","19,176","495","18,681","889","17,792","32","0.50","584","12","1,557"
"2022-08-03","三","25,577","698","24,879","1,184","23,695","39","0.61","638","18","1,382"
"2022-08-04","四","68,823","582","68,241","3,249","64,992","71","1.11","961","38","1,796"
"2022-08-05","五","84,417","450","83,967","3,997","79,970","98","1.53","857","33","2,544"
"2022-08-06","六","75,074","1,716","73,358","3,493","69,865","77","1.20","953","22","3,334"
"2022-08-07","日","40,261","5,854","34,407","1,639","32,768","35","0.55","983","16","2,150"
"2022-08-08","一","17,767","271","17,496","833","16,663","18","0.28","972","10","1,750"
"2022-08-09","二","32,637","240","32,397","1,541","30,856","33","0.52","982","15","2,160"
"2022-08-10","三","17,403","496","16,907","806","16,101","20","0.31","845","11","1,537"
"2022-08-11","四","21,299","500","20,799","991","19,808","28","0.44","743","15","1,387"
"2022-08-12","五","79,631","120","79,511","3,785","75,726","74","1.16","1,074","27","2,945"
"2022-08-13","六","79,790","120","79,670","3,795","75,875","80","1.25","996","29","2,747"
"2022-08-14","日","28,778","0","28,778","1,371","27,407","25","0.39","1,151","14","2,056"
"2022-08-15","一","23,311","500","22,811","1,087","21,724","24","0.38","950","14","1,629"
"2022-08-16","二","12,690","0","12,690","606","12,084","17","0.27","746","12","1,058"
"2022-08-17","三","37,929","96","37,833","1,801","36,032","39","0.61","970","13","2,910"
"2022-08-18","四","10,093","370","9,723","463","9,260","12","0.19","810","10","972"
"2022-08-19","五","116,527","795","115,732","5,511","110,221","99","1.55","1,169","32","3,617"
"2022-08-20","六","63,456","800","62,656","2,984","59,672","69","1.08","908","24","2,611"
"2022-08-21","日","27,873","750","27,123","1,292","25,831","23","0.36","1,179","11","2,466"
"2022-08-22","一","53,050","250","52,800","2,512","50,288","43","0.67","1,228","12","4,400"
"2022-08-23","二","19,767","0","19,767","941","18,826","16","0.25","1,235","10","1,977"
"2022-08-24","三","55,003","940","54,063","2,573","51,490","54","0.84","1,001","15","3,604"
"2022-08-25","四","15,258","319","14,939","710","14,229","19","0.30","786","10","1,494"
"2022-08-26","五","100,314","114","100,200","4,771","95,429","82","1.28","1,222","28","3,579"
"2022-08-27","六","61,126","220","60,906","2,901","58,005","63","0.98","967","25","2,436"
"2022-08-28","日","26,151","220","25,931","1,235","24,696","23","0.36","1,127","13","1,995"
"2022-08-29","一","29,927","750","29,177","1,390","27,787","25","0.39","1,167","15","1,945"
"2022-08-30","二","7,625","324","7,301","348","6,953","9","0.14","811","5","1,460"
"2022-08-31","三","58,014","1,160","56,854","2,707","54,147","27","0.42","2,106","9","6,317"
"總計","","1,340,262","19,422","1,320,840","62,891","1,257,949","1,308","","","537",""
"全月日均","","43,234","","","","40,579","42","0.66","1,001","17","2,370"
