"店別","營業日期","用餐時間","時間區間","顧客人數","主餐客數","交易單數","主餐客數/交易單數"
"01","2022-08-01","-1438","-1440--1435分鐘","1","0","1","0"
"01","2022-08-01","-1329","-1330--1325分鐘","3","0","1","0"
"01","2022-08-01","-1290","-1290--1285分鐘","7","0","1","0"
"01","2022-08-01","-1256","-1260--1255分鐘","2","0","1","0"
"01","2022-08-01","-1216","-1220--1215分鐘","2","0","1","0"
"01","2022-08-01","-1043","-1045--1040分鐘","2","0","1","0"
"01","2022-08-01","-109","-110--105分鐘","0","0","1","0"
"01","2022-08-01","1","0-5分鐘","0","0","3","0"
"01","2022-08-01","12","10-15分鐘","2","0","1","0"
"01","2022-08-01","73","70-75分鐘","2","0","1","0"
"01","2022-08-01","78","75-80分鐘","1","0","1","0"
"01","2022-08-01","109","105-110分鐘","2","0","1","0"
"01","2022-08-01","122","120-125分鐘","4","0","2","0"
"01","2022-08-01","138","135-140分鐘","2","0","1","0"
"01","2022-08-01","291","290-295分鐘","2","0","1","0"
"01","2022-08-01","350","350-355分鐘","2","0","1","0"
"01","2022-08-02","-1348","-1350--1345分鐘","2","0","1","0"
"01","2022-08-02","-1242","-1245--1240分鐘","2","0","1","0"
"01","2022-08-02","-1098","-1100--1095分鐘","5","0","1","0"
"01","2022-08-02","-978","-980--975分鐘","0","0","1","0"
"01","2022-08-02","2","0-5分鐘","12","0","3","0"
"01","2022-08-02","27","25-30分鐘","2","0","1","0"
"01","2022-08-02","60","60-65分鐘","2","0","1","0"
"01","2022-08-02","117","115-120分鐘","2","0","1","0"
"01","2022-08-02","185","185-190分鐘","2","0","1","0"
"01","2022-08-02","241","240-245分鐘","3","0","1","0"
"01","2022-08-03","-1360","-1360--1355分鐘","3","0","1","0"
"01","2022-08-03","-1355","-1355--1350分鐘","5","0","1","0"
"01","2022-08-03","-1181","-1185--1180分鐘","2","0","1","0"
"01","2022-08-03","-1024","-1025--1020分鐘","0","0","1","0"
"01","2022-08-03","-970","-970--965分鐘","8","0","1","0"
"01","2022-08-03","0","0-5分鐘","2","0","4","0"
"01","2022-08-03","53","50-55分鐘","0","0","2","0"
"01","2022-08-03","56","55-60分鐘","2","0","1","0"
"01","2022-08-03","79","75-80分鐘","7","0","2","0"
"01","2022-08-03","212","210-215分鐘","0","0","1","0"
"01","2022-08-03","270","270-275分鐘","2","0","1","0"
"01","2022-08-03","286","285-290分鐘","4","0","1","0"
"01","2022-08-03","293","290-295分鐘","4","0","1","0"
"01","2022-08-04","-1349","-1350--1345分鐘","1","0","1","0"
"01","2022-08-04","-1275","-1275--1270分鐘","2","0","1","0"
"01","2022-08-04","-1265","-1265--1260分鐘","2","0","1","0"
"01","2022-08-04","-1239","-1240--1235分鐘","4","0","1","0"
"01","2022-08-04","-1218","-1220--1215分鐘","2","0","1","0"
"01","2022-08-04","-1164","-1165--1160分鐘","3","0","1","0"
"01","2022-08-04","-1019","-1020--1015分鐘","1","0","1","0"
"01","2022-08-04","-1004","-1005--1000分鐘","0","0","1","0"
"01","2022-08-04","-973","-975--970分鐘","2","0","1","0"
"01","2022-08-04","0","0-5分鐘","1","0","5","0"
"01","2022-08-04","16","15-20分鐘","1","0","1","0"
"01","2022-08-04","33","30-35分鐘","2","0","2","0"
"01","2022-08-04","35","35-40分鐘","1","0","2","0"
"01","2022-08-04","40","40-45分鐘","2","0","2","0"
"01","2022-08-04","68","65-70分鐘","1","0","1","0"
"01","2022-08-04","83","80-85分鐘","2","0","1","0"
"01","2022-08-04","98","95-100分鐘","4","0","2","0"
"01","2022-08-04","120","120-125分鐘","5","0","1","0"
"01","2022-08-04","129","125-130分鐘","2","0","1","0"
"01","2022-08-04","151","150-155分鐘","2","0","1","0"
"01","2022-08-04","166","165-170分鐘","10","0","1","0"
"01","2022-08-04","188","185-190分鐘","2","0","1","0"
"01","2022-08-04","191","190-195分鐘","2","0","1","0"
"01","2022-08-04","213","210-215分鐘","6","0","3","0"
"01","2022-08-04","226","225-230分鐘","5","0","2","0"
"01","2022-08-04","258","255-260分鐘","2","0","1","0"
"01","2022-08-04","328","325-330分鐘","4","0","1","0"
"01","2022-08-05","-1375","-1375--1370分鐘","3","0","1","0"
"01","2022-08-05","-1356","-1360--1355分鐘","2","0","1","0"
"01","2022-08-05","-1328","-1330--1325分鐘","2","0","1","0"
"01","2022-08-05","-1298","-1300--1295分鐘","3","0","1","0"
"01","2022-08-05","-1284","-1285--1280分鐘","5","0","1","0"
"01","2022-08-05","-1242","-1245--1240分鐘","6","0","1","0"
"01","2022-08-05","-1224","-1225--1220分鐘","4","0","1","0"
"01","2022-08-05","-1210","-1210--1205分鐘","1","0","1","0"
"01","2022-08-05","-1048","-1050--1045分鐘","3","0","1","0"
"01","2022-08-05","-1044","-1045--1040分鐘","10","0","1","0"
"01","2022-08-05","-945","-945--940分鐘","0","0","1","0"
"01","2022-08-05","1","0-5分鐘","0","0","2","0"
"01","2022-08-05","15","15-20分鐘","1","0","1","0"
"01","2022-08-05","29","25-30分鐘","5","0","1","0"
"01","2022-08-05","42","40-45分鐘","1","0","1","0"
"01","2022-08-05","48","45-50分鐘","1","0","1","0"
"01","2022-08-05","56","55-60分鐘","3","0","1","0"
"01","2022-08-05","70","70-75分鐘","3","0","1","0"
"01","2022-08-05","84","80-85分鐘","3","0","1","0"
"01","2022-08-05","89","85-90分鐘","2","0","1","0"
"01","2022-08-05","113","110-115分鐘","2","0","1","0"
"01","2022-08-05","138","135-140分鐘","2","0","1","0"
"01","2022-08-05","142","140-145分鐘","4","0","1","0"
"01","2022-08-05","191","190-195分鐘","3","0","1","0"
"01","2022-08-05","218","215-220分鐘","3","0","1","0"
"01","2022-08-05","250","250-255分鐘","6","0","1","0"
"01","2022-08-05","262","260-265分鐘","3","0","1","0"
"01","2022-08-05","278","275-280分鐘","6","0","1","0"
"01","2022-08-05","281","280-285分鐘","2","0","1","0"
"01","2022-08-05","356","355-360分鐘","2","0","1","0"
"01","2022-08-05","361","360-365分鐘","7","0","2","0"
"01","2022-08-06","-1394","-1395--1390分鐘","2","0","1","0"
"01","2022-08-06","-1267","-1270--1265分鐘","5","0","1","0"
"01","2022-08-06","-1098","-1100--1095分鐘","6","0","1","0"
"01","2022-08-06","-1081","-1085--1080分鐘","1","0","1","0"
"01","2022-08-06","-1026","-1030--1025分鐘","20","0","1","0"
"01","2022-08-06","-1023","-1025--1020分鐘","6","0","1","0"
"01","2022-08-06","-997","-1000--995分鐘","4","0","1","0"
"01","2022-08-06","-991","-995--990分鐘","2","0","1","0"
"01","2022-08-06","-906","-910--905分鐘","0","0","1","0"
"01","2022-08-06","1","0-5分鐘","0","0","2","0"
"01","2022-08-06","30","30-35分鐘","0","0","1","0"
"01","2022-08-06","39","35-40分鐘","4","0","1","0"
"01","2022-08-06","50","50-55分鐘","1","0","1","0"
"01","2022-08-06","121","120-125分鐘","2","0","1","0"
"01","2022-08-06","128","125-130分鐘","2","0","1","0"
"01","2022-08-06","137","135-140分鐘","2","0","1","0"
"01","2022-08-06","157","155-160分鐘","3","0","1","0"
"01","2022-08-06","188","185-190分鐘","4","0","1","0"
"01","2022-08-06","251","250-255分鐘","3","0","1","0"
"01","2022-08-06","259","255-260分鐘","2","0","1","0"
"01","2022-08-06","260","260-265分鐘","8","0","1","0"
"01","2022-08-07","-1251","-1255--1250分鐘","1","0","1","0"
"01","2022-08-07","-1229","-1230--1225分鐘","14","0","1","0"
"01","2022-08-07","-1034","-1035--1030分鐘","1","0","1","0"
"01","2022-08-07","-987","-990--985分鐘","0","0","1","0"
"01","2022-08-07","0","0-5分鐘","3","0","3","0"
"01","2022-08-07","22","20-25分鐘","2","0","2","0"
"01","2022-08-07","35","35-40分鐘","2","0","2","0"
"01","2022-08-07","63","60-65分鐘","2","0","1","0"
"01","2022-08-07","68","65-70分鐘","0","0","1","0"
"01","2022-08-07","229","225-230分鐘","4","0","1","0"
"01","2022-08-07","230","230-235分鐘","3","0","1","0"
"01","2022-08-07","284","280-285分鐘","3","0","1","0"
"01","2022-08-08","-1305","-1305--1300分鐘","2","0","1","0"
"01","2022-08-08","-1265","-1265--1260分鐘","3","0","1","0"
"01","2022-08-08","-1231","-1235--1230分鐘","0","0","1","0"
"01","2022-08-08","-947","-950--945分鐘","0","0","1","0"
"01","2022-08-08","8","5-10分鐘","2","0","2","0"
"01","2022-08-08","15","15-20分鐘","1","0","1","0"
"01","2022-08-08","39","35-40分鐘","1","0","1","0"
"01","2022-08-08","113","110-115分鐘","6","0","1","0"
"01","2022-08-08","160","160-165分鐘","3","0","1","0"
"01","2022-08-09","-1296","-1300--1295分鐘","2","0","1","0"
"01","2022-08-09","-1178","-1180--1175分鐘","2","0","1","0"
"01","2022-08-09","-1077","-1080--1075分鐘","0","0","1","0"
"01","2022-08-09","1","0-5分鐘","8","0","6","0"
"01","2022-08-09","5","5-10分鐘","1","0","1","0"
"01","2022-08-09","23","20-25分鐘","3","0","1","0"
"01","2022-08-09","72","70-75分鐘","4","0","1","0"
"01","2022-08-09","138","135-140分鐘","5","0","1","0"
"01","2022-08-09","151","150-155分鐘","6","0","1","0"
"01","2022-08-09","277","275-280分鐘","2","0","1","0"
"01","2022-08-10","-1294","-1295--1290分鐘","1","0","1","0"
"01","2022-08-10","-995","-995--990分鐘","0","0","1","0"
"01","2022-08-10","0","0-5分鐘","1","0","3","0"
"01","2022-08-10","15","15-20分鐘","1","0","1","0"
"01","2022-08-10","36","35-40分鐘","2","0","1","0"
"01","2022-08-10","49","45-50分鐘","1","0","1","0"
