"分店代碼","分店名稱","建立時間","單號","用餐方式","pos機號","發票號碼","服務費","結帳金額","現金券金額","實收金額","交易金額","淨額","稅額","折扣總額","銷售總額","單品折扣總額","整單折扣總額","折扣名稱","付款方式","員工"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 17:26:39","2","內用",2,"",0,100,0,100,100,95,5,0,100,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 20:28:42","6","內用",2,"",0,125,0,125,125,119,6,0,125,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 22:18:22","11","內用",2,"",166,1826,0,1826,1826,1739,87,0,1826,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 22:24:22","3","內用",2,"",176,1856,0,1856,1856,1768,88,80,1936,80,0,"吧台經理招待","信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 22:32:08","7","內用",2,"",178,1958,0,1958,1958,1865,93,0,1958,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 22:41:39","14","內用",2,"",64,704,0,704,704,670,34,0,704,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 23:11:43","10","內用",2,"",284,3124,0,3124,3124,2975,149,0,3124,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 23:20:14","19","內用",2,"",0,125,0,125,125,119,6,0,125,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 23:23:16","4","內用",2,"",258,2838,0,2838,2838,2703,135,0,2838,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-01 23:31:30","15","內用",2,"",199,2189,0,2189,2189,2085,104,0,2189,0,0,,"信用卡","90466979"
