"日","營業額","現金","LINE Pay","街口支付","信用卡","funNow"
1,31243,9403,448,0,21392,0
2,18681,1409,0,0,17272,0
3,24879,11148,0,0,13731,0
4,68241,25871,0,0,37470,4900
5,83967,8211,3201,1848,70707,0
6,73358,23494,0,0,49164,700
7,34407,12266,0,0,22141,0
8,17496,1588,0,0,15908,0
9,32397,2596,0,0,29801,0
10,16907,2628,0,0,12879,1400
11,20799,4441,0,0,16358,0
12,79511,24223,4004,0,49884,1400
13,79670,14626,418,0,62526,2100
14,28778,6382,0,0,22396,0
15,22811,3533,0,0,19278,0
16,12690,3637,0,0,9053,0
17,37833,15367,0,0,22466,0
18,9723,325,1738,0,6260,1400
19,115732,23835,0,0,90497,1400
20,62656,3785,0,0,58871,0
21,27123,9272,0,0,17851,0
22,52800,4571,0,0,48229,0
23,19767,4235,0,0,15532,0
24,54063,875,3861,0,49327,0
25,14939,4115,3223,0,7601,0
26,100200,15548,0,0,84652,0
27,60906,13348,0,0,47558,0
28,25931,598,0,0,25333,0
29,29177,5147,0,0,24030,0
30,7301,0,1716,0,5585,0
31,56854,858,0,0,55996,0
