"排名","名稱","數量","數量%","金額","金額%"
" 1","小Shot杯","627","21%","0","0%"
" 2","店長Ian","546","18%","0","0%"
" 3","外場經理Louies","358","12%","0","0%"
" 4","爵Shot杯","279","9%","0","0%"
" 5","補單","278","9%","0","0%"
" 6","吧台Naoh","226","7%","0","0%"
" 7","外場Jericho","160","5%","0","0%"
" 8","吧台經理Henry","141","5%","0","0%"
" 9","店經理Eason","84","3%","0","0%"
" 10","吧台豪豪","83","3%","0","0%"
" 11","On the Rocks(大方冰)","52","2%","0","0%"
" 12","廚房二廚Roy","36","1%","0","0%"
" 13","員工破杯","36","1%","-10,800","111%"
" 14","店經理Ian","30","1%","0","0%"
" 15","正常","23","1%","0","0%"
" 16","加濃","22","1%","1,100","-11%"
" 17","Normal","10","0%","0","0%"
" 18","不要蔥","9","0%","0","0%"
" 19","熱的","6","0%","0","0%"
" 20","去冰","5","0%","0","0%"
" 21","Neat","3","0%","0","0%"
" 22","Without Garnish","1","0%","0","0%"
" 23","不要香菜","1","0%","0","0%"
" 24","With Lemon Peels","1","0%","0","0%"
" 25","With Cucumber","1","0%","0","0%"
