"分店代碼","建立時間","交易序號","用餐方式","桌號","單號","pos機號","發票號碼","服務費","低銷","折扣總額","結帳金額","淨額"
"01","2022-08-01 17:26:39","20220801 17250002","內用","員工","2","2","","0","0","0","100","95"
"01","2022-08-01 20:28:42","20220801 20280006","內用","員工","6","2","","0","0","0","125","119"
"01","2022-08-01 22:18:22","20220801 21040011","內用","A5","11","2","","166","0","0","1826","1739"
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","2","","176","0","80","1856","1768"
"01","2022-08-01 22:32:08","20220801 20300007","內用","B9","7","2","","178","0","0","1958","1865"
"01","2022-08-01 22:41:39","20220801 21230014","內用","B1","14","2","","64","0","0","704","670"
"01","2022-08-01 23:11:43","20220801 20530010","內用","B3","10","2","","284","0","0","3124","2975"
"01","2022-08-01 23:20:14","20220801 23190019","內用","A1","19","2","","0","0","0","125","119"
"01","2022-08-01 23:23:16","20220801 17330004","內用","B5","4","2","","258","0","0","2838","2703"
"01","2022-08-01 23:31:30","20220801 21290015","內用","A10","15","2","","199","0","0","2189","2085"
"01","2022-08-01 23:42:13","20220801 21530017","內用","A6","17","2","","158","0","0","1738","1655"
"01","2022-08-02 00:01:35","20220801 23590020","內用","A1","5-1","2","","396","0","0","4356","4149"
"01","2022-08-02 00:04:28","20220801 21340016","內用","A7","16","2","","260","0","0","2860","2724"
"01","2022-08-02 00:11:56","20220801 22210018","內用","小VIP","18","2","","0","0","0","0","0"
"01","2022-08-02 00:19:10","20220801 21140013","內用","A13","13","2","","0","0","192","448","427"
"01","2022-08-02 00:23:11","20220801 17460005","內用","B7","5","2","","123","0","0","1353","1289"
"01","2022-08-02 00:32:06","20220801 20480008","內用","A3","8","2","","440","0","0","4840","4610"
"01","2022-08-02 01:26:16","20220802 01140021","內用","B5","20","2","","73","0","0","803","765"
"01","2022-08-02 01:28:39","20220801 03170001","內用","員工","1","2","","0","0","0","0","0"
"01","2022-08-02 02:02:32","20220802 02000001","內用","B8","1","2","","0","0","0","640","610"
"01","2022-08-02 17:22:37","20220802 17220002","內用","員工","2","2","","0","0","0","100","95"
"01","2022-08-02 21:41:22","20220802 17400003","內用","A1","3","2","","165","0","495","1320","1257"
"01","2022-08-02 22:01:49","20220802 21340010","內用","B6","10","2","","42","0","0","462","440"
"01","2022-08-02 22:28:49","20220802 21290009","內用","A12","9","2","","77","0","0","847","807"
"01","2022-08-02 23:00:53","20220802 19560007","內用","B9","7","2","","120","0","0","1320","1257"
"01","2022-08-02 23:21:45","20220802 21250008","內用","B4","8","2","","297","0","0","3267","3111"
"01","2022-08-03 00:07:14","20220803 00060014","內用","A7","14","2","","504","0","0","5544","5280"
"01","2022-08-03 00:39:10","20220802 18570006","內用","A3","6","2","","96","0","0","1056","1006"
"01","2022-08-03 01:00:32","20220802 21420011","內用","B1","11","2","","270","0","0","2970","2829"
"01","2022-08-03 01:25:01","20220802 23530013","內用","B9","13","2","","105","0","0","1155","1100"
"01","2022-08-03 01:29:17","20220802 17470005","內用","員工","5","2","","0","0","0","0","0"
"01","2022-08-03 17:28:29","20220803 17280001","內用","站A","1","2","","0","0","0","100","95"
"01","2022-08-03 17:28:49","20220803 17280002","內用","站A","2","2","","0","0","0","100","95"
"01","2022-08-03 20:05:22","20220803 19120010","內用","B7","10","2","","35","0","0","385","367"
"01","2022-08-03 20:31:13","20220803 19350011","內用","B9","11","2","","48","0","0","528","503"
"01","2022-08-03 22:05:46","20220803 17350004","內用","A5","4","2","","302","0","0","3322","3164"
"01","2022-08-03 22:14:36","20220803 18420009","內用","站A","9","2","","76","0","228","608","579"
"01","2022-08-03 22:21:53","20220803 17350003","內用","A1","3","2","","461","0","220","5071","4830"
"01","2022-08-03 22:28:22","20220803 17350005","內用","A3","5","2","","291","0","0","3201","3049"
"01","2022-08-03 22:35:56","20220803 21170014","內用","小VIP","14","2","","24","0","0","264","251"
"01","2022-08-03 23:23:17","20220803 22040015","內用","B6","15","2","","80","0","0","880","838"
"01","2022-08-04 00:17:44","20220804 00170020","內用","B2","19","2","","117","0","250","1037","988"
"01","2022-08-04 00:24:57","20220803 23000017","內用","A1","17","2","","0","0","0","0","0"
"01","2022-08-04 01:09:32","20220804 01080022","內用","B2","16-1","2","","84","0","0","924","880"
"01","2022-08-04 01:11:55","20220803 23510018","內用","B5","18","2","","107","0","0","1177","1121"
"01","2022-08-04 01:18:24","20220804 00250021","內用","A1","20","2","","0","0","0","0","0"
"01","2022-08-04 01:26:22","20220803 17360007","內用","A7","7","2","","513","0","0","5643","5374"
"01","2022-08-04 01:32:43","20220803 21130013","內用","A3","13","2","","149","0","0","1639","1561"
"01","2022-08-04 01:33:44","20220803 18370008","內用","員工","8","2","","0","0","0","0","0"
"01","2022-08-04 17:25:12","20220804 17240001","內用","站B","1","2","","0","0","0","100","95"
"01","2022-08-04 17:57:04","20220804 17560017","內用","站A","17","2","","0","0","0","100","95"
"01","2022-08-04 19:27:33","20220804 17490004","內用","A3","4","2","","229","0","0","2519","2399"
"01","2022-08-04 19:55:12","20220804 17550008","內用","A7","8","2","","356","0","0","3916","3730"
"01","2022-08-04 20:20:01","20220804 17490003","內用","A2","3","2","","160","0","0","1760","1676"
"01","2022-08-04 20:42:18","20220804 17560016","內用","大VIP-B","16","2","DK09469933","943","0","0","10373","9879"
"01","2022-08-04 21:00:13","20220804 17490005","內用","A4","5","2","","155","0","0","1705","1624"
"01","2022-08-04 21:03:57","20220804 17550014","內用","B7","14","2","","342","0","0","3762","3583"
"01","2022-08-04 21:21:49","20220804 17490002","內用","A1","2","2","","329","0","0","3619","3447"
"01","2022-08-04 21:26:27","20220804 17550013","內用","B5","13","2","","62","0","0","682","650"
"01","2022-08-04 21:30:09","20220804 17550012","內用","B3","12","2","","213","0","0","2343","2231"
"01","2022-08-04 21:34:33","20220804 17490007","內用","A6","7","2","","191","0","120","1981","1887"
"01","2022-08-04 21:42:06","20220804 17550009","內用","A10","9","2","","248","0","0","2728","2598"
"01","2022-08-04 22:07:32","20220804 17490006","內用","A5","6","2","","148","0","0","1628","1550"
"01","2022-08-04 22:29:57","20220804 22290026","內用","站A","26","2","","0","0","0","780","743"
"01","2022-08-04 22:31:58","20220804 22310027","內用","站A","27","2","","0","0","0","420","400"
"01","2022-08-04 22:44:12","20220804 20340020","內用","A2","20","2","","230","0","0","2530","2410"
"01","2022-08-04 23:00:20","20220804 21220022","內用","B7","22","2","","108","0","0","1188","1131"
"01","2022-08-04 23:01:45","20220804 21390023","內用","B5","23","2","","104","0","0","1144","1090"
"01","2022-08-04 23:11:28","20220804 22380029","內用","A1","29","2","","0","0","0","0","0"
"01","2022-08-04 23:23:43","20220804 17550010","內用","A12","10","2","","465","0","120","4995","4757"
"01","2022-08-04 23:46:28","20220804 22370028","內用","B4","28","2","","62","0","0","682","650"
"01","2022-08-04 23:47:39","20220804 23120032","內用","A10","32","2","","120","0","0","1320","1257"
"01","2022-08-05 00:05:39","20220805 00050033","內用","站A","33","2","","0","0","0","125","119"
"01","2022-08-05 00:20:43","20220804 22490031","內用","A2","31","2","","98","0","0","1078","1027"
