"交易序號","發票編號","類別名稱","商品名稱","數量","點單金額","客數","商品單位"
"20220801 03170001","","招待","招待Whisky Shot","5","0","0","選擇追蹤單位"
"20220801 03170001","","招待","招待Whisky Shot","11","0","0","選擇追蹤單位"
"20220801 03170001","","杯子","破杯費(刺蝟杯)","1","0","0","選擇追蹤單位"
"20220801 03170001","","招待","招待Gin Shot","2","0","0","選擇追蹤單位"
"20220801 03170001","","招待","招待Whisky Shot","14","0","0","選擇追蹤單位"
"20220801 03170001","","招待","員工喝High Ball","1","0","0","選擇追蹤單位"
"20220801 03170001","","杯子","破杯費(金邊水杯)","1","0","0","選擇追蹤單位"
"20220801 03170001","","招待","員工喝High Ball","1","0","0","選擇追蹤單位"
"20220801 03170001","","杯子","破杯費(金邊水杯)","3","0","0","選擇追蹤單位"
"20220801 17250002","","香菸","雲斯頓呱旋風6毫克","1","100","0","選擇追蹤單位"
"20220801 17330003","","Signature Cocktail","炙陽","1","380","0","選擇追蹤單位"
"20220801 17330003","","特色餐點","蒜酥黃金魚皮","1","220","0","選擇追蹤單位"
"20220801 17330003","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 17330003","","開胃小點","酸辣土豆絲","1","80","0","選擇追蹤單位"
"20220801 17330003","","主食","香辣干燒蝦拌麵","1","260","0","選擇追蹤單位"
"20220801 17330003","","炸物","可樂果炸雞","1","320","0","選擇追蹤單位"
"20220801 17330003","","開胃小點","臥龍三椒鳳爪","1","120","0","選擇追蹤單位"
"20220801 17330003","","過往活動及已下架產品","綻","1","0","0",""
"20220801 17330003","","過往活動及已下架產品","綻","1","0","0",""
"20220801 17330004","","主食","干貝雞汁拌麵","1","260","0","選擇追蹤單位"
"20220801 17330004","","Signature Cocktail","雲初之上","1","400","0","選擇追蹤單位"
"20220801 17330004","","Signature Cocktail","東方美人","1","420","0","選擇追蹤單位"
"20220801 17330004","","下酒菜","松阪豬炒水蓮","1","220","0","選擇追蹤單位"
"20220801 17330004","","Signature Cocktail","龍柏","1","400","0","選擇追蹤單位"
"20220801 17330004","","炸物","太極雙醬薯條","1","220","0","選擇追蹤單位"
"20220801 17330004","","特色餐點","烏金堅果乾酪燒","1","240","0","選擇追蹤單位"
"20220801 17330004","","Signature Cocktail","哈庫那瑪塔塔","1","420","0","選擇追蹤單位"
"20220801 17460005","","Other Classic","Long Island Iced Tea","1","430","0",""
"20220801 17460005","","招待","招待Whisky Shot","3","0","0","選擇追蹤單位"
"20220801 17460005","","Other Classic","Long Island Iced Tea","0","0","0",""
"20220801 17460005","","Other Classic","Long Island Iced Tea","0","0","0",""
"20220801 17460005","","炸物","可樂果炸雞","0","0","0","選擇追蹤單位"
"20220801 17460005","","Signature Cocktail","哈庫那瑪塔塔","0","0","0","選擇追蹤單位"
"20220801 17460005","","Signature Cocktail","龍柏","0","0","0","選擇追蹤單位"
"20220801 17460005","","主食","香辣干燒蝦拌麵","0","0","0","選擇追蹤單位"
"20220801 17460005","","Other Classic","Long Island Iced Tea","0","0","0",""
"20220801 17460005","","Signature Cocktail","琥珀","0","0","0","選擇追蹤單位"
"20220801 17460005","","Signature Cocktail","山海關","1","420","0","選擇追蹤單位"
"20220801 17460005","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 17460005","","Signature Cocktail","山海關","0","0","0","選擇追蹤單位"
"20220801 17460005","","Classic Cocktail","Side Car","0","0","0",""
"20220801 17460005","","下酒菜","松阪豬炒水蓮","0","0","0","選擇追蹤單位"
"20220801 20280006","","香菸","七星雙味晶球5毫克","1","125","0","選擇追蹤單位"
"20220801 20300007","","Other Classic","Highball","1","280","0",""
"20220801 20300007","","House Wine","GRANDIAL SPARKLING WINE","1","1500","0","選擇追蹤單位"
"20220801 20480008","","Signature Cocktail","尋根","1","400","0","選擇追蹤單位"
"20220801 20480008","","Signature Cocktail","尋根","1","400","0","選擇追蹤單位"
"20220801 20480008","","炸物","太極雙醬薯條","1","220","0","選擇追蹤單位"
"20220801 20480008","","Signature Cocktail","尋根","1","400","0","選擇追蹤單位"
"20220801 20480008","","Signature Cocktail","龍柏","1","400","0","選擇追蹤單位"
"20220801 20480008","","Signature Cocktail","東方美人","1","420","0","選擇追蹤單位"
"20220801 20480008","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 20480008","","Signature Cocktail","哈庫那瑪塔塔","1","420","0","選擇追蹤單位"
"20220801 20480008","","炸物","可樂果炸雞","1","320","0","選擇追蹤單位"
"20220801 20480008","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 20480008","","特色餐點","烏金堅果乾酪燒","1","240","0","選擇追蹤單位"
"20220801 20480008","","Signature Cocktail","哈庫那瑪塔塔","1","420","0","選擇追蹤單位"
"20220801 20530010","","Other Classic","JagerBomb","2","700","0","選擇追蹤單位"
"20220801 20530010","","Classic Cocktail","Mojito","1","350","0",""
"20220801 20530010","","Other Classic","JagerBomb","1","350","0","選擇追蹤單位"
"20220801 20530010","","Other Classic","JagerBomb","1","350","0","選擇追蹤單位"
"20220801 20530010","","主食","香辣干燒蝦拌麵","1","260","0","選擇追蹤單位"
"20220801 20530010","","下酒菜","松阪豬炒水蓮","1","220","0","選擇追蹤單位"
"20220801 20530010","","Other Classic","JagerBomb","1","350","0","選擇追蹤單位"
"20220801 20530010","","主食","干貝雞汁拌麵","1","260","0","選擇追蹤單位"
"20220801 21040011","","滷味","秘制滷味拼盤","1","360","0","選擇追蹤單位"
"20220801 21040011","","特色餐點","芥末蘋果蝦球","1","340","0","選擇追蹤單位"
"20220801 21040011","","Other Classic","Sangria","1","380","0","選擇追蹤單位"
"20220801 21040011","","特色餐點","黑白無腸","1","180","0","選擇追蹤單位"
"20220801 21040011","","Signature Cocktail","雲初之上","1","400","0","選擇追蹤單位"
"20220801 21140013","","主食","香辣干燒蝦拌麵","1","260","0","選擇追蹤單位"
"20220801 21140013","","主食","香辣干燒蝦拌麵","1","260","0","選擇追蹤單位"
"20220801 21140013","","滷味","自制滷豆干","1","0","0","選擇追蹤單位"
"20220801 21140013","","特色餐點","特製皮蛋豆腐","1","120","0","選擇追蹤單位"
"20220801 21140013","","Ocard兌換券","黃金會員餐食兌換券","1","0","0","選擇追蹤單位"
"20220801 21230014","","Signature Cocktail","哈庫那瑪塔塔","1","0","0","選擇追蹤單位"
"20220801 21230014","","Signature Cocktail","龍柏","1","400","0","選擇追蹤單位"
"20220801 21230014","","過往活動及已下架產品","#crouchide 6","1","0","0","選擇追蹤單位"
"20220801 21230014","","特色餐點","烏金堅果乾酪燒","1","240","0","選擇追蹤單位"
"20220801 21290015","","Signature Cocktail","龍柏","1","400","0","選擇追蹤單位"
"20220801 21290015","","Other Classic","Sangria","1","380","0","選擇追蹤單位"
"20220801 21290015","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 21290015","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 21290015","","炸物","吉祥炸物拼盤","1","450","0","選擇追蹤單位"
"20220801 21340016","","Other Classic","Highball","1","280","0",""
"20220801 21340016","","House Wine","Rockbare McLaren Vale Grenache","1","250","0","選擇追蹤單位"
"20220801 21340016","","Shot","House Shot","1","100","0","選擇追蹤單位"
"20220801 21340016","","Beer","PERONI draft beer","1","250","0","選擇追蹤單位"
