"分店代碼","建立時間","交易序號","用餐方式","桌號","單號","商品編號","商品名稱","商品單價","數量","銷售金額","實收金額","淨額"
"01","2022-08-01 17:26:39","20220801 17250002","內用","員工","2","","雲斯頓呱旋風6毫克","100","1","100","100",""
"01","2022-08-01 20:28:42","20220801 20280006","內用","員工","6","","七星雙味晶球5毫克","125","1","125","125",""
"01","2022-08-01 22:18:22","20220801 21040011","內用","A5","11","","雲初之上","400","1","400","400",""
"01","2022-08-01 22:18:22","20220801 21040011","內用","A5","11","","Sangria","380","1","380","380",""
"01","2022-08-01 22:18:22","20220801 21040011","內用","A5","11","","秘制滷味拼盤","360","1","360","360",""
"01","2022-08-01 22:18:22","20220801 21040011","內用","A5","11","","芥末蘋果蝦球","340","1","340","340",""
"01","2022-08-01 22:18:22","20220801 21040011","內用","A5","11","","黑白無腸","180","1","180","180",""
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","","炙陽","380","1","380","380",""
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","","琥珀","380","1","380","380",""
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","","可樂果炸雞","320","1","320","320",""
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","","香辣干燒蝦拌麵","260","1","260","260",""
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","","蒜酥黃金魚皮","220","1","220","220",""
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","","臥龍三椒鳳爪","120","1","120","120",""
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","","酸辣土豆絲","80","1","80","80",""
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","","綻","0","1","0","0",""
"01","2022-08-01 22:24:22","20220801 17330003","內用","B7","3","","綻","0","1","0","0",""
"01","2022-08-01 22:32:08","20220801 20300007","內用","B9","7","","GRANDIAL SPARKLING WINE","1500","1","1500","1500",""
"01","2022-08-01 22:32:08","20220801 20300007","內用","B9","7","","Highball","280","1","280","280",""
"01","2022-08-01 22:41:39","20220801 21230014","內用","B1","14","","龍柏","400","1","400","400",""
"01","2022-08-01 22:41:39","20220801 21230014","內用","B1","14","","烏金堅果乾酪燒","240","1","240","240",""
"01","2022-08-01 22:41:39","20220801 21230014","內用","B1","14","","哈庫那瑪塔塔","0","1","0","0",""
"01","2022-08-01 22:41:39","20220801 21230014","內用","B1","14","","#crouchide 6","0","1","0","0",""
"01","2022-08-01 23:11:43","20220801 20530010","內用","B3","10","","JagerBomb","350","2","700","700",""
"01","2022-08-01 23:11:43","20220801 20530010","內用","B3","10","","Mojito","350","1","350","350",""
"01","2022-08-01 23:11:43","20220801 20530010","內用","B3","10","","JagerBomb","350","1","350","350",""
"01","2022-08-01 23:11:43","20220801 20530010","內用","B3","10","","JagerBomb","350","1","350","350",""
"01","2022-08-01 23:11:43","20220801 20530010","內用","B3","10","","JagerBomb","350","1","350","350",""
"01","2022-08-01 23:11:43","20220801 20530010","內用","B3","10","","香辣干燒蝦拌麵","260","1","260","260",""
"01","2022-08-01 23:11:43","20220801 20530010","內用","B3","10","","干貝雞汁拌麵","260","1","260","260",""
"01","2022-08-01 23:11:43","20220801 20530010","內用","B3","10","","松阪豬炒水蓮","220","1","220","220",""
"01","2022-08-01 23:20:14","20220801 23190019","內用","A1","19","","七星硬盒10毫克","125","1","125","125",""
"01","2022-08-01 23:23:16","20220801 17330004","內用","B5","4","","東方美人","420","1","420","420",""
"01","2022-08-01 23:23:16","20220801 17330004","內用","B5","4","","哈庫那瑪塔塔","420","1","420","420",""
"01","2022-08-01 23:23:16","20220801 17330004","內用","B5","4","","雲初之上","400","1","400","400",""
