sales_date,weekday,sales_total,sales_discount,sales_result,guest_num,price_per_guest,orders_num,price_per_order,weekend_label
2022-08-01,Mon,31515,272,31243,34,919,19,1644,weekday
2022-08-02,Tue,19176,495,18681,32,584,12,1557,weekday
2022-08-03,Wed,25577,698,24879,39,638,18,1382,weekday
2022-08-04,Thu,68823,582,68241,71,961,38,1796,weekday
2022-08-05,Fri,84417,450,83967,98,857,33,2544,weekend
2022-08-06,Sat,75074,1716,73358,77,953,22,3334,weekend
2022-08-07,Sun,40261,5854,34407,35,983,16,2150,weekend
2022-08-08,Mon,17767,271,17496,18,972,10,1750,weekday
2022-08-09,Tue,32637,240,32397,33,982,15,2160,weekday
2022-08-10,Wed,17403,496,16907,20,845,11,1537,weekday
2022-08-11,Thu,21299,500,20799,28,743,15,1387,weekday
2022-08-12,Fri,79631,120,79511,74,1074,27,2945,weekend
2022-08-13,Sat,79790,120,79670,80,996,29,2747,weekend
2022-08-14,Sun,28778,0,28778,25,1151,14,2056,weekend
2022-08-15,Mon,23311,500,22811,24,950,14,1629,weekday
2022-08-16,Tue,12690,0,12690,17,746,12,1058,weekday
2022-08-17,Wed,37929,96,37833,39,970,13,2910,weekday
2022-08-18,Thu,10093,370,9723,12,810,10,972,weekday
2022-08-19,Fri,116527,795,115732,99,1169,32,3617,weekend
2022-08-20,Sat,63456,800,62656,69,908,24,2611,weekend
2022-08-21,Sun,27873,750,27123,23,1179,11,2466,weekend
2022-08-22,Mon,53050,250,52800,43,1228,12,4400,weekday
2022-08-23,Tue,19767,0,19767,16,1235,10,1977,weekday
2022-08-24,Wed,55003,940,54063,54,1001,15,3604,weekday
2022-08-25,Thu,15258,319,14939,19,786,10,1494,weekday
2022-08-26,Fri,100314,114,100200,82,1222,28,3579,weekend
2022-08-27,Sat,61126,220,60906,63,967,25,2436,weekend
2022-08-28,Sun,26151,220,25931,23,1127,13,1995,weekend
2022-08-29,Mon,29927,750,29177,25,1167,15,1945,weekday
2022-08-30,Tue,7625,324,7301,9,811,5,1460,weekday
2022-08-31,Wed,58014,1160,56854,27,2106,9,6317,weekday
